Year,Persons_Trial_Completed,Total_Persons_under_Trial
2007,478,6663
2007,369,892
2007,322,1414
2007,136,982
2007,0,0
2007,1095,5557
2007,622,11254
2007,5,71
2007,9,120
2007,0,0
2007,7,12
2007,378,3080
2007,11,44
2007,228,1281
2007,944,8740
2007,0,8
2007,877,2625
2007,55,244
2007,3834,18685
2007,166,1129
2007,999,9642
2008,1,42
2008,1007,4100
2008,12,483
2008,1102,4405
2008,1365,11600
2008,58,134
2008,162,1374
2008,1,37
2008,0,4
2008,202,1535
2008,6,49
2008,579,11848
2008,340,1659
2008,82,491
2008,388,6690
2008,315,1056
2008,275,1483
2008,144,1036
2008,0,0
2008,854,5419
2008,750,11960
2008,0,66
2008,4,114
2008,0,1
2008,1,8
2008,474,3304
2008,4,40
2008,201,1519
2008,666,8712
2008,2,16
2008,946,2864
2008,55,282
2008,5148,20673
2008,279,1137
2008,1079,10023
2009,6,43
2009,1412,4694
2009,10,503
2009,709,4356
2009,1626,12182
2009,36,99
2009,164,1460
2009,4,54
2009,0,4
2009,162,1711
2009,14,65
2009,545,12754
2009,488,1866
2009,102,514
2009,564,6990
2009,459,1119
2009,341,1688
2009,142,1077
2009,0,1
2009,739,5587
2009,637,12541
2009,0,66
2009,18,120
2009,1,1
2009,9,11
2009,409,3591
2009,6,49
2009,360,1674
2009,699,9153
2009,8,18
2009,785,3008
2009,75,295
2009,7016,22273
2009,211,1051
2009,885,10532
2010,0,53
2010,1393,5045
2010,5,521
2010,817,4747
2010,1636,12815
2010,21,71
2010,202,1617
2010,3,53
2010,0,4
2010,240,1901
2010,15,69
2010,812,13779
2010,486,1902
2010,79,497
2010,446,6925
2010,483,1314
2010,391,1939
2010,100,1190
2010,0,1
2010,1223,6148
2010,698,13130
2010,2,68
2010,6,119
2010,0,0
2010,3,8
2010,707,4277
2010,7,69
2010,334,1761
2010,719,9715
2010,2,19
2010,843,3499
2010,154,306
2010,7320,22034
2010,149,1112
2010,898,12106
2001,0,1
2001,879,3211
2001,0,0
2001,55,252
2001,1222,7329
2001,13,32
2001,123,839
2001,1,9
2001,0,0
2001,121,1759
2001,5,26
2001,59,1725
2001,849,2495
2001,8,86
2001,48,85
2001,673,1766
2001,381,1955
2001,24,277
2001,0,0
2001,1511,5639
2001,1118,8483
2001,0,0
2001,0,5
2001,0,0
2001,0,0
2001,443,1780
2001,16,23
2001,348,1380
2001,637,3618
2001,0,0
2001,729,3005
2001,20,80
2001,4604,28170
2001,158,678
2001,356,2554
2002,0,1
2002,885,3287
2002,0,0
2002,45,274
2002,892,8444
2002,13,19
2002,251,916
2002,0,8
2002,0,0
2002,111,1921
2002,0,21
2002,140,1832
2002,751,2270
2002,7,95
2002,10,59
2002,516,1181
2002,357,2106
2002,23,284
2002,0,0
2002,1573,5984
2002,842,8599
2002,0,0
2002,0,5
2002,0,0
2002,0,0
2002,382,1904
2002,7,14
2002,470,1512
2002,995,3559
2002,0,0
2002,1615,2839
2002,22,67
2002,6077,29031
2002,151,627
2002,674,2875
2003,1,1
2003,1033,3656
2003,0,0
2003,55,285
2003,1297,9506
2003,0,10
2003,207,885
2003,0,8
2003,0,0
2003,105,2047
2003,1,25
2003,160,1842
2003,625,2025
2003,23,105
2003,20,73
2003,347,1157
2003,418,2201
2003,30,303
2003,0,0
2003,1968,6558
2003,1646,9134
2003,0,0
2003,0,5
2003,0,0
2003,0,0
2003,629,2208
2003,0,10
2003,464,1340
2003,624,3132
2003,0,0
2003,535,1726
2003,18,67
2003,4635,26496
2003,102,731
2003,692,2884
2004,1,1
2004,1085,3735
2004,0,0
2004,84,355
2004,1195,9855
2004,7,19
2004,225,896
2004,0,8
2004,0,0
2004,191,2269
2004,9,24
2004,140,1793
2004,606,1935
2004,17,107
2004,22,77
2004,347,1266
2004,561,2270
2004,28,364
2004,0,0
2004,1938,6843
2004,945,8718
2004,0,0
2004,0,6
2004,0,0
2004,0,0
2004,610,2428
2004,1,15
2004,291,1185
2004,610,3188
2004,0,0
2004,456,1736
2004,19,82
2004,4533,26185
2004,165,833
2004,652,2994
2005,0,0
2005,1235,3932
2005,0,0
2005,84,370
2005,1359,10794
2005,12,21
2005,210,931
2005,5,8
2005,0,0
2005,344,2305
2005,4,24
2005,146,1792
2005,625,1831
2005,12,93
2005,3,78
2005,543,1304
2005,743,2245
2005,56,355
2005,0,0
2005,2252,6920
2005,864,9087
2005,0,0
2005,0,6
2005,0,0
2005,0,0
2005,517,2532
2005,0,19
2005,174,1135
2005,553,3122
2005,0,0
2005,540,1785
2005,24,98
2005,3851,25648
2005,127,803
2005,737,3147
2006,0,0
2006,1348,3748
2006,0,0
2006,78,430
2006,1923,11678
2006,7,33
2006,253,950
2006,0,3
2006,0,1
2006,295,2270
2006,8,21
2006,110,1779
2006,509,1720
2006,13,94
2006,4,88
2006,564,1177
2006,622,2023
2006,55,332
2006,0,0
2006,1705,6834
2006,836,9487
2006,0,0
2006,0,8
2006,0,0
2006,0,0
2006,547,3005
2006,10,28
2006,220,1213
2006,787,3219
2006,0,0
2006,544,1648
2006,12,85
2006,4361,26469
2006,169,863
2006,566,3449
2007,0,0
2007,1112,3834
2007,0,0
2007,93,491
2007,1813,12263
2007,12,33
2007,260,935
2007,0,3
2007,0,4
2007,333,2247
2007,0,13
2007,152,1808
2007,553,1785
2007,14,110
2007,24,105
