1,0,12,7,0,39,28,73,16,1,67,74,
1,0,65,34,2,112,131,364,12,3,333,367,
2,0,36,28,72,44,52,20,0,74,66,94,
5,0,19,21,27,11,6,45,3,32,56,77,
519,0,838,822,156,66,81,3639,1,675,3492,4314,
1,0,10,8,3,7,9,28,0,4,24,32,
272,9,553,503,120,260,237,653,73,392,551,1054,
870,30,1110,1109,320,7,8,3657,0,1190,3768,4877,
0,0,8,13,3,6,1,12,0,3,2,15,
608,3,744,732,212,323,314,1722,21,820,1813,2545,
97,5,157,132,54,57,69,118,13,151,142,274,
948,21,1683,1666,980,196,159,7732,54,1928,8015,9681,
65,0,225,215,46,41,35,539,16,111,435,650,
703,0,2085,1997,100,1147,1137,8789,98,803,7595,9592,
2,0,7,10,1,5,2,62,0,3,55,65,
936,21,1360,1252,226,644,685,2825,67,1162,2756,4008,
1,1,40,29,3,23,27,464,7,4,440,469,
517,23,1290,941,203,1380,1315,3594,414,720,3396,4337,
1117,0,1451,1111,232,739,998,5515,81,1349,5753,6864,
10,0,27,31,11,13,7,82,2,21,72,103,
637,32,1211,1208,276,34,37,3982,0,913,3719,4927,
6,0,5,3,2,2,4,6,0,8,11,14,
2,0,2,3,3,1,0,3,0,5,5,8,
403,0,778,647,209,289,397,1841,23,612,1806,2453,
8,0,20,20,0,22,15,82,7,8,70,90,
225,6,539,551,69,52,40,3771,0,294,3520,4071,
363,0,772,749,153,28,51,1184,0,516,951,1700,
105,1,131,121,39,28,33,605,5,144,629,750,
162,5,301,301,15,5,1,1291,4,177,1172,1473,
741,51,943,1119,207,589,390,1332,23,948,1212,2331,
452,3,475,435,55,74,104,1129,10,507,1204,1639,
395,1,666,594,80,514,585,3714,1,475,3596,4190,
0,0,0,0,0,0,0,2,0,0,2,2,
2917,27,3878,3858,1139,52,69,10724,3,4056,10949,14807,
1358,14,2162,2049,222,520,619,15435,14,1580,14980,17029,
1,0,20,2,0,28,39,74,7,1,73,75,
11,1,71,41,2,131,147,391,14,13,364,405,
6,0,77,73,74,52,56,13,0,80,20,93,
2,1,29,24,10,6,11,56,0,12,45,69,
489,0,1020,995,186,81,103,3959,3,675,3639,4634,
1,0,9,7,4,9,11,30,0,5,28,35,
300,0,618,578,129,237,251,802,26,429,653,1231,
761,11,1085,1083,377,8,10,3591,0,1138,3657,4740,
1,0,17,14,1,1,4,24,0,2,12,26,
426,1,573,546,146,314,337,1695,4,572,1722,2268,
67,0,167,145,20,69,40,176,51,87,118,263,
940,14,1770,1701,999,159,163,7480,65,1939,7732,9433,
129,1,233,215,57,35,25,567,28,186,539,754,
861,0,2045,1774,160,1137,1223,9542,185,1021,8789,10563,
4,0,3,3,1,2,2,60,0,5,62,65,
1086,5,1436,1467,199,685,637,3002,17,1285,2825,4292,
3,0,57,37,7,27,24,491,23,10,464,501,
